State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Sehore,Rural,Children under age 6 months exclusively breastfed10 (%),NA,43.6,43.1
Madhya Pradesh,Sehore,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Sehore,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,7.5,8.1
Madhya Pradesh,Sehore,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Sehore,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,6.6,7.1
Madhya Pradesh,Sehore,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,33,33.6
Madhya Pradesh,Sehore,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,28.8,27
Madhya Pradesh,Sehore,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,12.9,12.5
Madhya Pradesh,Sehore,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,40.4,39.9
Madhya Pradesh,Sehore,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,27.1,26.6
Madhya Pradesh,Sehore,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,32,29.3
Madhya Pradesh,Sehore,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,11.7,14.4
Madhya Pradesh,Sehore,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,11.6,12.9
Madhya Pradesh,Sehore,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,67.6,65.4
Madhya Pradesh,Sehore,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,46.5,46.4
Madhya Pradesh,Sehore,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,59.1,58.2
Madhya Pradesh,Sehore,Rural,All women age 15-49 years who are anaemic (%),NA,47.2,46.9
Madhya Pradesh,Sehore,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,20.6,20.1
Madhya Pradesh,Sehore,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,1.7,2.4
Madhya Pradesh,Sehore,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,0.2,0.5
Madhya Pradesh,Sehore,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.3,5.5
Madhya Pradesh,Sehore,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,0.7,2.4
Madhya Pradesh,Sehore,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,5.4,5.7
Madhya Pradesh,Sehore,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,0.8,1.4
Madhya Pradesh,Sehore,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.1,0.1
Madhya Pradesh,Sehore,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,5.1,6.9
Madhya Pradesh,Sehore,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.5,1.1
Madhya Pradesh,Sehore,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,1.6,1.2
Madhya Pradesh,Sehore,Rural,Cervix (%),NA,35.2,32.9
Madhya Pradesh,Sehore,Rural,Breast (%),NA,12.3,12.6
Madhya Pradesh,Sehore,Rural,Oral cavity (%),NA,14.7,14.2
Madhya Pradesh,Seoni,Rural,Population (female) age 6 years and above who ever attended school (%),NA,66.1,68.6
Madhya Pradesh,Seoni,Rural,Population below age 15 years (%),NA,28.4,28
Madhya Pradesh,Seoni,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,"1,040","1,031"
Madhya Pradesh,Seoni,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,956,951
Madhya Pradesh,Seoni,Rural,Children under age 5 years whose birth was registered (%),NA,88.6,89.4
Madhya Pradesh,Seoni,Rural,Households with electricity (%),NA,79.3,81.9
Madhya Pradesh,Seoni,Rural,Households with an improved drinking-water source1 (%),NA,75.7,78.2
Madhya Pradesh,Seoni,Rural,Households using improved sanitation facility2 (%),NA,17.1,24.4
Madhya Pradesh,Seoni,Rural,Households using clean fuel for cooking3 (%),NA,8.2,18
Madhya Pradesh,Seoni,Rural,Households using iodized salt (%),NA,91.9,92.9
Madhya Pradesh,Seoni,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,21,21.6
Madhya Pradesh,Seoni,Rural,Women who are literate (%),NA,59.7,62.5
Madhya Pradesh,Seoni,Rural,Men who are literate (%),NA,71.8,75.3
Madhya Pradesh,Seoni,Rural,Women with 10 or more years of schooling (%),NA,17.7,22.2
Madhya Pradesh,Seoni,Rural,Women age 20-24 years married before age 18 years (%),NA,17.8,16.3
Madhya Pradesh,Seoni,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Seoni,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,4.2,3.8
Madhya Pradesh,Seoni,Rural,Any method4 (%),NA,71.2,70
Madhya Pradesh,Seoni,Rural,Any modern method4 (%),NA,71.1,69.7
Madhya Pradesh,Seoni,Rural,Female sterilization (%),NA,68.1,66.4
Madhya Pradesh,Seoni,Rural,Male sterilization (%),NA,0.4,0.4
Madhya Pradesh,Seoni,Rural,IUD/PPIUD (%),NA,0.2,0.1
Madhya Pradesh,Seoni,Rural,Pill (%),NA,0.9,0.8
Madhya Pradesh,Seoni,Rural,Condom (%),NA,1.2,1.8
Madhya Pradesh,Seoni,Rural,Total unmet need (%),NA,6.1,6.4
Madhya Pradesh,Seoni,Rural,Unmet need for spacing (%),NA,4.6,4.7
Madhya Pradesh,Seoni,Rural,Health worker ever talked to female non-users about family planning (%),NA,19,18.9
Madhya Pradesh,Seoni,Rural,Current users ever told about side effects of current method6 (%),NA,18.6,18.5
Madhya Pradesh,Seoni,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,53.5,55.2
Madhya Pradesh,Seoni,Rural,Mothers who had at least 4 antenatal care visits (%),NA,40.5,42
Madhya Pradesh,Seoni,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,97,97
Madhya Pradesh,Seoni,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,39.9,37.4
Madhya Pradesh,Seoni,Rural,Mothers who had full antenatal care8 (%),NA,19.2,18.7
Madhya Pradesh,Seoni,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,99.1,98.6
Madhya Pradesh,Seoni,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,55.8,54.9
Madhya Pradesh,Seoni,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,73.4,71.3
Madhya Pradesh,Seoni,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,688,649
Madhya Pradesh,Seoni,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,0,0
Madhya Pradesh,Seoni,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,23.6,21.7
Madhya Pradesh,Seoni,Rural,Institutional births (%),NA,84.1,86
Madhya Pradesh,Seoni,Rural,Institutional births in public facility (%),NA,79.3,76.9
Madhya Pradesh,Seoni,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,1.8,1.6
Madhya Pradesh,Seoni,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,80.4,82.7
Madhya Pradesh,Seoni,Rural,Births delivered by caesarean section (%),NA,4,7.5
Madhya Pradesh,Seoni,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,52.6
Madhya Pradesh,Seoni,Rural,Births in a public health facility delivered by caesarean section (%),NA,2.5,3.5
Madhya Pradesh,Seoni,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,52.9,57.1
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who have received BCG (%),NA,97.8,98
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,58.9,64
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,92.2,93.2
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who have received measles vaccine (%),NA,90.3,89.8
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,60.7,63.9
Madhya Pradesh,Seoni,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,67.6,68.3
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,100,98.7
Madhya Pradesh,Seoni,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,1.3
Madhya Pradesh,Seoni,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,6.4,6.7
Madhya Pradesh,Seoni,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,*,*
Madhya Pradesh,Seoni,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,*,*
Madhya Pradesh,Seoni,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,*,*
Madhya Pradesh,Seoni,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,3.2,2.8
Madhya Pradesh,Seoni,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,*,*
Madhya Pradesh,Seoni,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,46.9,46.3
Madhya Pradesh,Seoni,Rural,Children under age 6 months exclusively breastfed10 (%),NA,60.7,64.6
Madhya Pradesh,Seoni,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Seoni,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,12.1,10.8
Madhya Pradesh,Seoni,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Seoni,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,11.6,10.4
Madhya Pradesh,Seoni,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,33.6,34.7
Madhya Pradesh,Seoni,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,31.4,32.4
Madhya Pradesh,Seoni,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,13,12.9
Madhya Pradesh,Seoni,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,43.9,43.8
Madhya Pradesh,Seoni,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,33.4,32.4
Madhya Pradesh,Seoni,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,25.3,23.5
Madhya Pradesh,Seoni,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,7.2,8.7
Madhya Pradesh,Seoni,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,12.8,15.2
Madhya Pradesh,Seoni,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,63,60.8
Madhya Pradesh,Seoni,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,57.9,55.5
Madhya Pradesh,Seoni,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,53.3,49.9
Madhya Pradesh,Seoni,Rural,All women age 15-49 years who are anaemic (%),NA,57.7,55.3
Madhya Pradesh,Seoni,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,24.4,21.5
Madhya Pradesh,Seoni,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,5.7,6
Madhya Pradesh,Seoni,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.5,2
Madhya Pradesh,Seoni,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,6.2,7
Madhya Pradesh,Seoni,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.7,2.3
Madhya Pradesh,Seoni,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,5.9,5.8
Madhya Pradesh,Seoni,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,2.3,2.2
Madhya Pradesh,Seoni,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.5,0.5
Madhya Pradesh,Seoni,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,4.5,5.5
Madhya Pradesh,Seoni,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,3.3,4
Madhya Pradesh,Seoni,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.7,1
Madhya Pradesh,Seoni,Rural,Cervix (%),NA,9.1,8.4
Madhya Pradesh,Seoni,Rural,Breast (%),NA,3.7,3.5
Madhya Pradesh,Seoni,Rural,Oral cavity (%),NA,3.7,3.4
Madhya Pradesh,Shahdol,Rural,Population (female) age 6 years and above who ever attended school (%),NA,55.7,59.8
Madhya Pradesh,Shahdol,Rural,Population below age 15 years (%),NA,30.5,29.4
Madhya Pradesh,Shahdol,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,963,973
Madhya Pradesh,Shahdol,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,911,931
Madhya Pradesh,Shahdol,Rural,Children under age 5 years whose birth was registered (%),NA,73.7,74.8
Madhya Pradesh,Shahdol,Rural,Households with electricity (%),NA,72,75.3
Madhya Pradesh,Shahdol,Rural,Households with an improved drinking-water source1 (%),NA,60.6,66.6
Madhya Pradesh,Shahdol,Rural,Households using improved sanitation facility2 (%),NA,8.2,16.9
Madhya Pradesh,Shahdol,Rural,Households using clean fuel for cooking3 (%),NA,5.8,13.5
Madhya Pradesh,Shahdol,Rural,Households using iodized salt (%),NA,88.7,89.8
Madhya Pradesh,Shahdol,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,20.7,21.2
Madhya Pradesh,Shahdol,Rural,Women who are literate (%),NA,48.6,54.6
Madhya Pradesh,Shahdol,Rural,Men who are literate (%),NA,85.1,87.5
Madhya Pradesh,Shahdol,Rural,Women with 10 or more years of schooling (%),NA,13.3,18.7
Madhya Pradesh,Shahdol,Rural,Women age 20-24 years married before age 18 years (%),NA,40.3,35.4
Madhya Pradesh,Shahdol,Rural,Men age 25-29 years married before age 21 years (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,9.8,7.3
Madhya Pradesh,Shahdol,Rural,Any method4 (%),NA,42.9,43.5
Madhya Pradesh,Shahdol,Rural,Any modern method4 (%),NA,42.7,43.2
Madhya Pradesh,Shahdol,Rural,Female sterilization (%),NA,40.5,39.9
Madhya Pradesh,Shahdol,Rural,Male sterilization (%),NA,0.8,0.8
Madhya Pradesh,Shahdol,Rural,IUD/PPIUD (%),NA,0.2,0.5
Madhya Pradesh,Shahdol,Rural,Pill (%),NA,0.2,0.2
Madhya Pradesh,Shahdol,Rural,Condom (%),NA,0.7,1.5
Madhya Pradesh,Shahdol,Rural,Total unmet need (%),NA,11.5,11.3
Madhya Pradesh,Shahdol,Rural,Unmet need for spacing (%),NA,5.8,5.3
Madhya Pradesh,Shahdol,Rural,Health worker ever talked to female non-users about family planning (%),NA,16.9,15.2
Madhya Pradesh,Shahdol,Rural,Current users ever told about side effects of current method6 (%),NA,28.4,25.8
Madhya Pradesh,Shahdol,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,31,33
Madhya Pradesh,Shahdol,Rural,Mothers who had at least 4 antenatal care visits (%),NA,22.8,21.9
Madhya Pradesh,Shahdol,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,87,88.1
Madhya Pradesh,Shahdol,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,20.8,20.4
Madhya Pradesh,Shahdol,Rural,Mothers who had full antenatal care8 (%),NA,7,7.2
Madhya Pradesh,Shahdol,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,82.6,83.3
Madhya Pradesh,Shahdol,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,34.9,35.2
Madhya Pradesh,Shahdol,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,81.1,78.8
Madhya Pradesh,Shahdol,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,943,"1,067"
Madhya Pradesh,Shahdol,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,0,0
Madhya Pradesh,Shahdol,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,3.8,4.2
Madhya Pradesh,Shahdol,Rural,Institutional births (%),NA,71.6,71.9
Madhya Pradesh,Shahdol,Rural,Institutional births in public facility (%),NA,70.5,70.1
Madhya Pradesh,Shahdol,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,2.2,2
Madhya Pradesh,Shahdol,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,72.7,71.2
Madhya Pradesh,Shahdol,Rural,Births delivered by caesarean section (%),NA,4.6,6.2
Madhya Pradesh,Shahdol,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,Births in a public health facility delivered by caesarean section (%),NA,5.5,7.1
Madhya Pradesh,Shahdol,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,39.2,40.3
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who have received BCG (%),NA,86.4,85.4
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,47.7,50.1
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,72.6,74.5
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who have received measles vaccine (%),NA,80.8,80.7
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,39.3,41.7
Madhya Pradesh,Shahdol,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,53.6,51.6
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,100,100
Madhya Pradesh,Shahdol,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Shahdol,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,6.8,6.6
Madhya Pradesh,Shahdol,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,2.9,2.5
Madhya Pradesh,Shahdol,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,54,57.4
Madhya Pradesh,Shahdol,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,54.8,56.6
Madhya Pradesh,Shahdol,Rural,Children under age 6 months exclusively breastfed10 (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Shahdol,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,9.3,8.3
Madhya Pradesh,Shahdol,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Shahdol,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,8.7,7.8
Madhya Pradesh,Shahdol,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,37.6,36.7
Madhya Pradesh,Shahdol,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,29.6,27.8
Madhya Pradesh,Shahdol,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,12,10.9
Madhya Pradesh,Shahdol,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,42.9,41.2
Madhya Pradesh,Shahdol,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,30.6,29.1
Madhya Pradesh,Shahdol,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,31.2,29.9
Madhya Pradesh,Shahdol,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,8.8,12.3
Madhya Pradesh,Shahdol,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,6.9,8.2
Madhya Pradesh,Shahdol,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,67.4,66.5
Madhya Pradesh,Shahdol,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,63.2,60.1
Madhya Pradesh,Shahdol,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,68.1,68.9
Madhya Pradesh,Shahdol,Rural,All women age 15-49 years who are anaemic (%),NA,63.5,60.5
Madhya Pradesh,Shahdol,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,39.8,34.3
Madhya Pradesh,Shahdol,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.7,5
Madhya Pradesh,Shahdol,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,2.3,2
Madhya Pradesh,Shahdol,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,5,7.9
Madhya Pradesh,Shahdol,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.7,4
Madhya Pradesh,Shahdol,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.8,7.4
Madhya Pradesh,Shahdol,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.6,1.5
Madhya Pradesh,Shahdol,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.4,0.4
Madhya Pradesh,Shahdol,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,8.4,7.5
Madhya Pradesh,Shahdol,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,0.8,0.7
Madhya Pradesh,Shahdol,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,0
Madhya Pradesh,Shahdol,Rural,Cervix (%),NA,9.8,9.8
Madhya Pradesh,Shahdol,Rural,Breast (%),NA,3.6,3.7
Madhya Pradesh,Shahdol,Rural,Oral cavity (%),NA,6.6,6.3
Madhya Pradesh,Shajapur,Rural,Population (female) age 6 years and above who ever attended school (%),NA,52.5,57
Madhya Pradesh,Shajapur,Rural,Population below age 15 years (%),NA,29.9,29.3
Madhya Pradesh,Shajapur,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,907,906
Madhya Pradesh,Shajapur,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,888,872
Madhya Pradesh,Shajapur,Rural,Children under age 5 years whose birth was registered (%),NA,95.1,95.4
Madhya Pradesh,Shajapur,Rural,Households with electricity (%),NA,95.7,96.5
Madhya Pradesh,Shajapur,Rural,Households with an improved drinking-water source1 (%),NA,79.7,83.2
Madhya Pradesh,Shajapur,Rural,Households using improved sanitation facility2 (%),NA,25.3,34.8
Madhya Pradesh,Shajapur,Rural,Households using clean fuel for cooking3 (%),NA,11.5,25.5
Madhya Pradesh,Shajapur,Rural,Households using iodized salt (%),NA,96.3,96.5
Madhya Pradesh,Shajapur,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,13.1,13.7
Madhya Pradesh,Shajapur,Rural,Women who are literate (%),NA,42.6,50.5
Madhya Pradesh,Shajapur,Rural,Men who are literate (%),NA,83.7,88.2
Madhya Pradesh,Shajapur,Rural,Women with 10 or more years of schooling (%),NA,11.8,18.8
Madhya Pradesh,Shajapur,Rural,Women age 20-24 years married before age 18 years (%),NA,41.2,35.2
Madhya Pradesh,Shajapur,Rural,Men age 25-29 years married before age 21 years (%),NA,45.2,38.9
Madhya Pradesh,Shajapur,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,11.7,10.2
Madhya Pradesh,Shajapur,Rural,Any method4 (%),NA,54.5,55.5
Madhya Pradesh,Shajapur,Rural,Any modern method4 (%),NA,52.6,53.7
Madhya Pradesh,Shajapur,Rural,Female sterilization (%),NA,44.7,42.7
Madhya Pradesh,Shajapur,Rural,Male sterilization (%),NA,0.7,0.7
Madhya Pradesh,Shajapur,Rural,IUD/PPIUD (%),NA,0.2,0.5
Madhya Pradesh,Shajapur,Rural,Pill (%),NA,2.1,2.7
Madhya Pradesh,Shajapur,Rural,Condom (%),NA,4.6,7
Madhya Pradesh,Shajapur,Rural,Total unmet need (%),NA,12.5,12.2
Madhya Pradesh,Shajapur,Rural,Unmet need for spacing (%),NA,6.3,6
Madhya Pradesh,Shajapur,Rural,Health worker ever talked to female non-users about family planning (%),NA,22,23.5
Madhya Pradesh,Shajapur,Rural,Current users ever told about side effects of current method6 (%),NA,65.9,67.6
Madhya Pradesh,Shajapur,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,69.6,70.6
Madhya Pradesh,Shajapur,Rural,Mothers who had at least 4 antenatal care visits (%),NA,54.6,56.5
Madhya Pradesh,Shajapur,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,97.4,96.2
Madhya Pradesh,Shajapur,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,27.8,28.6
Madhya Pradesh,Shajapur,Rural,Mothers who had full antenatal care8 (%),NA,17.1,18.7
Madhya Pradesh,Shajapur,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,99.1,99.3
Madhya Pradesh,Shajapur,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,44.2,49.1
Madhya Pradesh,Shajapur,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,72.8,68.1
Madhya Pradesh,Shajapur,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,930,"1,114"
Madhya Pradesh,Shajapur,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,*,*
Madhya Pradesh,Shajapur,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,8.8,9.4
Madhya Pradesh,Shajapur,Rural,Institutional births (%),NA,96.1,96.1
